Date,temperature - A,temperature - B
10/09/2010 0:00,29.5,28.96
11/09/2010 0:00,29.69,29.18
12/09/2010 0:00,29.89,29.31
13/09/2010 0:00,29.69,29.11
14/09/2010 0:00,29.6,28.92
15/09/2010 0:00,29.46,28.73
16/09/2010 0:00,29.71,28.98
17/09/2010 0:00,29.77,28.92
18/09/2010 0:00,29.32,28.48
19/09/2010 0:00,29.18,28.38
20/09/2010 0:00,29.87,28.77
21/09/2010 0:00,30.13,29.19
22/09/2010 0:00,30.05,29.21
23/09/2010 0:00,30.11,29.29
24/09/2010 0:00,29.82,29.02
25/09/2010 0:00,30.07,29.17
26/09/2010 0:00,29.85,29.08
27/09/2010 0:00,29.9,29.37
28/09/2010 0:00,29.73,29.03
29/09/2010 0:00,29.46,28.67
30/09/2010 0:00,29.62,28.88
01/10/2010 0:00,29.69,29.06
02/10/2010 0:00,29.42,28.76
03/10/2010 0:00,29.41,28.8
04/10/2010 0:00,29.4,28.56
05/10/2010 0:00,28.97,28.12
06/10/2010 0:00,28.49,27.75
07/10/2010 0:00,28.41,27.58
08/10/2010 0:00,28.22,27.31
09/10/2010 0:00,28.49,27.48
10/10/2010 0:00,27.97,26.93
11/10/2010 0:00,27.93,26.92
12/10/2010 0:00,27.77,26.85
13/10/2010 0:00,27.86,26.89
14/10/2010 0:00,27.98,27.08
15/10/2010 0:00,28.08,27.27
16/10/2010 0:00,28.31,27.49
17/10/2010 0:00,28.55,27.75
18/10/2010 0:00,28.27,27.47
19/10/2010 0:00,28.15,27.4
20/10/2010 0:00,28.22,27.4
21/10/2010 0:00,28.74,27.98
22/10/2010 0:00,28.69,27.92
23/10/2010 0:00,28.37,27.59
24/10/2010 0:00,27.74,26.99
25/10/2010 0:00,27.39,26.77
26/10/2010 0:00,27.3,26.56
27/10/2010 0:00,27.44,26.73
28/10/2010 0:00,27.56,26.77
29/10/2010 0:00,27.86,27.13
30/10/2010 0:00,27.31,26.8
31/10/2010 0:00,26.97,26.47
01/11/2010 0:00,26.61,26.15
02/11/2010 0:00,26.46,25.96
03/11/2010 0:00,26.18,25.65
04/11/2010 0:00,25.91,25.33
05/11/2010 0:00,26.25,25.68
06/11/2010 0:00,26.47,26.04
07/11/2010 0:00,26.38,25.83
08/11/2010 0:00,26.06,25.58
09/11/2010 0:00,25.74,25.16
10/11/2010 0:00,26.17,25.55
11/11/2010 0:00,26.58,25.91
12/11/2010 0:00,26.92,26.18
13/11/2010 0:00,26.88,26.32
14/11/2010 0:00,26.3,25.84
15/11/2010 0:00,26.33,25.84
16/11/2010 0:00,26.7,26.16
17/11/2010 0:00,26.65,26.1
18/11/2010 0:00,26.53,25.95
19/11/2010 0:00,26.45,25.92
20/11/2010 0:00,26.53,26.14
21/11/2010 0:00,26.21,25.79
22/11/2010 0:00,26.22,25.52
23/11/2010 0:00,25.76,25.01
24/11/2010 0:00,25.38,24.88
25/11/2010 0:00,25.14,24.63
26/11/2010 0:00,25.04,24.36
27/11/2010 0:00,24.84,24.21
28/11/2010 0:00,24.63,24.06
29/11/2010 0:00,24.72,24.29
30/11/2010 0:00,24.36,24.08
01/12/2010 0:00,24.18,23.9
02/12/2010 0:00,24.24,23.92
03/12/2010 0:00,,
04/12/2010 0:00,,
05/12/2010 0:00,23.81,23.34
06/12/2010 0:00,24.15,23.67
07/12/2010 0:00,24.16,23.62
08/12/2010 0:00,24.22,23.66
09/12/2010 0:00,24.17,23.63
10/12/2010 0:00,24.22,23.6
11/12/2010 0:00,23.75,23.17
12/12/2010 0:00,21.76,21.36
13/12/2010 0:00,19.51,19.04
14/12/2010 0:00,20.3,19.91
15/12/2010 0:00,21.18,21.1
16/12/2010 0:00,21.83,21.47
17/12/2010 0:00,22.15,21.82
18/12/2010 0:00,22.64,22.19
19/12/2010 0:00,22.13,11.11
20/12/2010 0:00,22.28,
21/12/2010 0:00,22.34,
22/12/2010 0:00,22.45,19.95
23/12/2010 0:00,22.59,22.39
24/12/2010 0:00,22.62,22.35
25/12/2010 0:00,22.6,22.38
26/12/2010 0:00,22.23,22.15
27/12/2010 0:00,22.19,22.04
28/12/2010 0:00,22.26,22.02
29/12/2010 0:00,22.3,22.07
30/12/2010 0:00,22.42,22.22
31/12/2010 0:00,22.35,22.09
01/01/2011 0:00,22.48,22.17
02/01/2011 0:00,22.13,21.88
03/01/2011 0:00,22.17,21.9
04/01/2011 0:00,21.99,21.84
05/01/2011 0:00,21.43,21.23
06/01/2011 0:00,21.28,20.93
07/01/2011 0:00,21.51,21.17
08/01/2011 0:00,21.32,21.06
09/01/2011 0:00,20.98,20.73
10/01/2011 0:00,20.97,20.72
11/01/2011 0:00,21.11,20.87
12/01/2011 0:00,21.26,21.05
13/01/2011 0:00,21.19,20.93
14/01/2011 0:00,21.13,20.91
15/01/2011 0:00,20.73,20.34
16/01/2011 0:00,20.48,20.01
17/01/2011 0:00,20.66,20.2
18/01/2011 0:00,21.06,20.65
19/01/2011 0:00,21.06,20.75
20/01/2011 0:00,20.94,20.71
21/01/2011 0:00,21.18,20.84
22/01/2011 0:00,21.19,20.91
23/01/2011 0:00,21.19,20.85
24/01/2011 0:00,21.42,21.2
25/01/2011 0:00,21.35,21.08
26/01/2011 0:00,21.16,20.8
27/01/2011 0:00,21.26,20.77
28/01/2011 0:00,21.76,21.28
29/01/2011 0:00,22.09,21.65
30/01/2011 0:00,21.34,21.02
31/01/2011 0:00,20.65,20.24
01/02/2011 0:00,20.68,20.39
02/02/2011 0:00,20.59,20.49
03/02/2011 0:00,20.01,20
04/02/2011 0:00,20.56,20.27
05/02/2011 0:00,20.9,20.47
06/02/2011 0:00,20.92,20.53
07/02/2011 0:00,21.08,20.7
08/02/2011 0:00,20.95,20.56
09/02/2011 0:00,21.16,20.79
10/02/2011 0:00,20.96,20.56
11/02/2011 0:00,20.38,19.91
12/02/2011 0:00,20.7,20.44
13/02/2011 0:00,20.7,20.42
14/02/2011 0:00,21.06,20.6
15/02/2011 0:00,21.31,20.91
16/02/2011 0:00,21.36,21.01
17/02/2011 0:00,21.66,21.14
18/02/2011 0:00,21.7,21.2
19/02/2011 0:00,21.95,21.51
20/02/2011 0:00,21.51,20.99
21/02/2011 0:00,21.07,20.47
22/02/2011 0:00,21.38,20.9
23/02/2011 0:00,21.81,21.35
24/02/2011 0:00,22.3,21.84
25/02/2011 0:00,22.46,22
26/02/2011 0:00,21.82,21.39
27/02/2011 0:00,21.29,21.13
28/02/2011 0:00,21.37,21.28
01/03/2011 0:00,21.62,21.42
02/03/2011 0:00,22.15,21.88
03/03/2011 0:00,22.2,21.84
04/03/2011 0:00,22.11,21.82
05/03/2011 0:00,22.26,21.97
06/03/2011 0:00,22.23,21.8
07/03/2011 0:00,22.68,22.14
08/03/2011 0:00,22,21.34
09/03/2011 0:00,21.05,20.46
10/03/2011 0:00,20.24,19.84
11/03/2011 0:00,19.57,19.1
12/03/2011 0:00,19.78,19.4
13/03/2011 0:00,20.36,20.05
14/03/2011 0:00,20.68,20.38
15/03/2011 0:00,21.27,20.97
16/03/2011 0:00,21.49,21.14
17/03/2011 0:00,21.62,21.31
18/03/2011 0:00,22.07,21.67
19/03/2011 0:00,22.6,22.06
20/03/2011 0:00,22.75,22.18
21/03/2011 0:00,23.1,22.56
22/03/2011 0:00,23.1,22.57
23/03/2011 0:00,22.96,22.38
24/03/2011 0:00,22.19,21.75
25/03/2011 0:00,21.03,20.55
26/03/2011 0:00,21.48,21.12
27/03/2011 0:00,21.74,21.29
28/03/2011 0:00,21.87,21.66
29/03/2011 0:00,22.06,21.79
30/03/2011 0:00,22.39,22.14
31/03/2011 0:00,22.66,22.37
01/04/2011 0:00,23.29,22.85
02/04/2011 0:00,23.75,23.27
03/04/2011 0:00,23.38,23.03
04/04/2011 0:00,22.67,22.13
05/04/2011 0:00,22.02,21.47
06/04/2011 0:00,22.26,21.85
07/04/2011 0:00,22.62,22.32
08/04/2011 0:00,23.03,22.47
09/04/2011 0:00,23.43,23
10/04/2011 0:00,23.34,22.81
11/04/2011 0:00,23.45,22.92
12/04/2011 0:00,23.38,22.74
13/04/2011 0:00,22.88,22.42
14/04/2011 0:00,22.72,22.51
15/04/2011 0:00,22.99,22.83
16/04/2011 0:00,23.58,23.36
17/04/2011 0:00,24.25,23.75
18/04/2011 0:00,24.83,24.3
19/04/2011 0:00,25.15,24.72
20/04/2011 0:00,24.4,23.89
21/04/2011 0:00,23.93,23.62
22/04/2011 0:00,23.65,23.32
23/04/2011 0:00,23.6,23.36
24/04/2011 0:00,23.71,23.37
25/04/2011 0:00,23.85,23.61
26/04/2011 0:00,23.98,23.55
27/04/2011 0:00,24.36,23.9
28/04/2011 0:00,24.6,24.13
29/04/2011 0:00,24.9,24.37
30/04/2011 0:00,25.12,24.62
01/05/2011 0:00,25.03,24.49
02/05/2011 0:00,24.91,24.4
03/05/2011 0:00,25.13,24.68
04/05/2011 0:00,25.18,24.75
05/05/2011 0:00,25.66,25.1
06/05/2011 0:00,25.87,25.34
07/05/2011 0:00,25.83,25.27
08/05/2011 0:00,25.4,24.85
09/05/2011 0:00,25.39,24.83
10/05/2011 0:00,25.5,24.93
11/05/2011 0:00,25.44,24.86
12/05/2011 0:00,25.48,24.87
13/05/2011 0:00,25.41,24.63
14/05/2011 0:00,24.94,24.34
15/05/2011 0:00,24.69,23.97
16/05/2011 0:00,24.8,24.21
17/05/2011 0:00,25.49,24.8
18/05/2011 0:00,25.99,25.3
19/05/2011 0:00,26.14,25.47
20/05/2011 0:00,25.95,25.44
21/05/2011 0:00,26.22,25.73
22/05/2011 0:00,26.15,25.58
23/05/2011 0:00,26.34,25.75
24/05/2011 0:00,26.59,26.01
25/05/2011 0:00,26.73,26.15
26/05/2011 0:00,26.72,26.12
27/05/2011 0:00,26.89,26.26
28/05/2011 0:00,27.14,26.61
29/05/2011 0:00,27.23,26.65
30/05/2011 0:00,27.11,26.45
31/05/2011 0:00,27.1,26.33
01/06/2011 0:00,27.11,26.42
02/06/2011 0:00,27.14,26.61
03/06/2011 0:00,27.19,26.7
04/06/2011 0:00,27.41,26.99
05/06/2011 0:00,27.52,27.09
06/06/2011 0:00,27.74,27.04
07/06/2011 0:00,27.85,27.06
08/06/2011 0:00,28.02,27.25
09/06/2011 0:00,27.94,27.17
10/06/2011 0:00,28.22,27.47
11/06/2011 0:00,28.42,27.78
12/06/2011 0:00,28.25,27.59
13/06/2011 0:00,28.05,27.42
14/06/2011 0:00,27.96,27.27
15/06/2011 0:00,27.85,27.18
16/06/2011 0:00,28.05,27.25
17/06/2011 0:00,28.01,27.23
18/06/2011 0:00,28,27.25
19/06/2011 0:00,28,27.29
20/06/2011 0:00,28.26,27.47
21/06/2011 0:00,28.53,27.71
22/06/2011 0:00,28.88,27.97
23/06/2011 0:00,29.04,28.12
24/06/2011 0:00,29.31,28.4
25/06/2011 0:00,29.06,28.27
26/06/2011 0:00,28.89,28.13
27/06/2011 0:00,28.47,27.84
28/06/2011 0:00,28.43,27.83
29/06/2011 0:00,28.52,27.72
30/06/2011 0:00,28.16,27.46
01/07/2011 0:00,28.36,27.73
02/07/2011 0:00,28.53,27.98
03/07/2011 0:00,28.75,28.01
04/07/2011 0:00,28.93,28.07
05/07/2011 0:00,28.9,27.95
06/07/2011 0:00,28.92,27.93
07/07/2011 0:00,29.11,28.23
08/07/2011 0:00,29.45,28.51
09/07/2011 0:00,29.63,28.87
10/07/2011 0:00,29.76,29.01
11/07/2011 0:00,29.66,28.95
12/07/2011 0:00,29.63,28.94
13/07/2011 0:00,29.65,29.02
14/07/2011 0:00,29.53,28.89
15/07/2011 0:00,29.7,29.07
16/07/2011 0:00,29.89,29.3
17/07/2011 0:00,29.91,29.18
18/07/2011 0:00,30.05,29.36
19/07/2011 0:00,30.16,29.42
20/07/2011 0:00,30.18,29.52
21/07/2011 0:00,30.08,29.37
22/07/2011 0:00,30.08,29.34
23/07/2011 0:00,30.08,29.28
24/07/2011 0:00,29.97,29.09
25/07/2011 0:00,30.18,29.41
26/07/2011 0:00,,
27/07/2011 0:00,,
28/07/2011 0:00,30.71,29.7
29/07/2011 0:00,30.41,29.4
30/07/2011 0:00,30.51,29.77
31/07/2011 0:00,30.76,29.95
01/08/2011 0:00,30.77,29.82
02/08/2011 0:00,30.47,29.73
03/08/2011 0:00,30.41,29.69
04/08/2011 0:00,30.25,29.6
05/08/2011 0:00,30.18,29.5
06/08/2011 0:00,30.2,29.56
07/08/2011 0:00,30.32,29.52
08/08/2011 0:00,30.31,29.64
09/08/2011 0:00,30.35,29.68
10/08/2011 0:00,30.47,29.83
11/08/2011 0:00,30.43,29.76
12/08/2011 0:00,30.33,29.67
13/08/2011 0:00,29.92,29.23
14/08/2011 0:00,29.9,29.21
15/08/2011 0:00,29.97,29.25
16/08/2011 0:00,29.92,29.21
17/08/2011 0:00,30.12,29.39
18/08/2011 0:00,30.2,29.42
19/08/2011 0:00,30.13,29.36
20/08/2011 0:00,30.16,29.41
21/08/2011 0:00,30.37,29.6
22/08/2011 0:00,30.55,29.84
23/08/2011 0:00,30.5,29.73
24/08/2011 0:00,30.46,29.61
25/08/2011 0:00,30.38,29.56
26/08/2011 0:00,30.03,29.28
27/08/2011 0:00,30.14,29.62
28/08/2011 0:00,30.23,29.58
29/08/2011 0:00,29.92,29.19
30/08/2011 0:00,29.7,28.95
31/08/2011 0:00,29.74,28.95
01/09/2011 0:00,30.04,29.09
02/09/2011 0:00,29.79,28.94
03/09/2011 0:00,,
04/09/2011 0:00,29.82,29.21
05/09/2011 0:00,29.66,29
06/09/2011 0:00,30.1,29.41
07/09/2011 0:00,30.2,29.44
08/09/2011 0:00,30,29.15
09/09/2011 0:00,29.89,28.9
10/09/2011 0:00,29.68,28.98
11/09/2011 0:00,29.59,29.13
12/09/2011 0:00,29.89,29.18
13/09/2011 0:00,29.87,29
14/09/2011 0:00,29.73,28.94
15/09/2011 0:00,29.57,28.66
16/09/2011 0:00,29.44,28.67
17/09/2011 0:00,29.52,28.59
18/09/2011 0:00,29.5,28.7
19/09/2011 0:00,29.61,28.81
20/09/2011 0:00,29.34,28.53
21/09/2011 0:00,29.4,28.43
22/09/2011 0:00,29.39,28.72
23/09/2011 0:00,29.29,28.59
24/09/2011 0:00,29.11,28.3
25/09/2011 0:00,28.95,28.13
26/09/2011 0:00,28.89,28.16
27/09/2011 0:00,28.98,28.07
28/09/2011 0:00,29.16,28.47
29/09/2011 0:00,29.34,28.53
30/09/2011 0:00,29.13,28.38
01/10/2011 0:00,28.92,28.15
02/10/2011 0:00,28.55,27.93
03/10/2011 0:00,28.4,27.63
04/10/2011 0:00,28.45,27.54
05/10/2011 0:00,28.51,27.65
06/10/2011 0:00,28.58,27.65
07/10/2011 0:00,28.4,27.58
08/10/2011 0:00,28.27,27.49
09/10/2011 0:00,28.02,27.36
10/10/2011 0:00,,
11/10/2011 0:00,,
12/10/2011 0:00,,
13/10/2011 0:00,,
14/10/2011 0:00,,
15/10/2011 0:00,,
16/10/2011 0:00,,
17/10/2011 0:00,,
18/10/2011 0:00,,
19/10/2011 0:00,,
20/10/2011 0:00,,
21/10/2011 0:00,,
22/10/2011 0:00,,
23/10/2011 0:00,27.64,26.87
24/10/2011 0:00,27.45,26.65
25/10/2011 0:00,27.33,26.61
26/10/2011 0:00,27.33,26.78
27/10/2011 0:00,27.11,26.37
28/10/2011 0:00,26.77,25.99
29/10/2011 0:00,26.37,25.67
30/10/2011 0:00,26.34,25.75
31/10/2011 0:00,26.03,25.35
01/11/2011 0:00,25.69,24.99
02/11/2011 0:00,25.25,24.9
03/11/2011 0:00,25.61,25.29
04/11/2011 0:00,25.8,25.22
05/11/2011 0:00,25.08,24.38
06/11/2011 0:00,24.96,24.21
07/11/2011 0:00,25.1,24.62
