Date,SV reactor 1,SV reactor 2,SV reactor 3,SV reactor 4,mlss reactor 1,volume reactor 1,mlss reactor 2,volume reactor 2,mlss reactor 3,volume reactor 3,mlss reactor 4,volume reactor 4
14/04/2018 00:00,2.56,1.8,2.74,2.69,,330,,470,,350,,350
15/04/2018 00:00,2.86,2.97,2.8,2.74,1816,330,1932,330,1772,350,1940,350
16/04/2018 00:00,2.83,2.71,2.83,2.97,1872,300,2116,320,1936,300,1988,300
17/04/2018 00:00,2.84,3.04,2.57,2.81,,330,,320,,400,,340
18/04/2018 00:00,3,2.83,2.53,2.34,1828,340,1924,360,1888,380,1856,370
19/04/2018 00:00,2.9,2.96,2.57,3.09,1924,320,1868,310,1912,420,1816,330
20/04/2018 00:00,3.14,3.2,3.24,3.31,,290,,350,,330,,290
21/04/2018 00:00,2.83,3.06,2.34,2.74,1992,350,1884,330,1964,330,2016,400
22/04/2018 00:00,3.21,2.87,2.77,2.84,,230,,320,,330,,360
23/04/2018 00:00,2.71,2.71,2.39,2.96,1840,340,1920,370,1884,370,1696,310
24/04/2018 00:00,3.23,3.17,3.06,3.4,1920,300,1924,320,1944,330,1760,280
25/04/2018 00:00,2.86,3.23,3.04,3.17,1776,320,1724,300,1760,330,1708,330
26/04/2018 00:00,2.89,3.37,3.31,3.04,2060,330,1632,300,1612,320,1860,340
27/04/2018 00:00,3.17,3.16,3.14,3.31,1852,290,1804,290,1740,280,1880,280
28/04/2018 00:00,2.24,2.6,2.93,2.44,2568,390,2096,330,1972,300,2244,350
29/04/2018 00:00,2.8,2.89,3.14,3.23,1944,340,1948,300,1764,280,1816,260
30/04/2018 00:00,3.06,2.96,3.44,3.39,1928,330,2084,390,1824,290,1960,300
01/05/2018 00:00,2.49,2.71,2.83,2.97,2000,370,1992,350,1812,310,1784,280
02/05/2018 00:00,2.57,3.06,2.97,2.71,2076,370,1768,280,2216,290,2216,300
03/05/2018 00:00,2.54,2.89,2.91,2.96,1864,340,2036,300,1500,290,2080,290
04/05/2018 00:00,2.37,3.37,3.2,2.97,2164,440,2044,300,1852,320,,350
05/05/2018 00:00,2.31,3.23,2.49,1.94,2412,420,1876,300,2376,430,1960,450
06/05/2018 00:00,2.66,3.21,2.73,2.73,1844,400,1884,300,1960,370,1880,370
07/05/2018 00:00,2.67,2.99,2.99,2.7,1896,390,1748,320,1880,350,1912,390
08/05/2018 00:00,2.7,3.17,2.84,2.79,1800,400,1596,300,1764,350,1804,360
09/05/2018 00:00,3.23,3.23,3.17,3.1,1728,300,1824,270,1784,280,1896,300
10/05/2018 00:00,2.79,3.2,2.99,3.26,1868,300,1676,250,1992,300,2000,280
11/05/2018 00:00,2.77,3.26,3.44,3.43,1912,310,1676,280,1664,290,1704,290
12/05/2018 00:00,2.73,2.83,3.2,2.56,2060,350,2056,350,1856,300,2228,580
13/05/2018 00:00,2.53,3.43,2.69,2.94,2020,370,1704,300,2172,360,2000,380
14/05/2018 00:00,2.96,3.16,3.17,2.73,1948,320,1892,220,1904,220,2000,350
15/05/2018 00:00,2.71,3.07,2.97,3.13,2112,400,2028,340,2036,350,1960,310
16/05/2018 00:00,2.7,3.33,3.07,2.87,2016,360,1808,280,2000,290,2064,310
17/05/2018 00:00,2.97,3.1,3.16,3.03,1884,340,1892,310,1804,290,1896,310
18/05/2018 00:00,3.17,3.26,3.03,3.26,,340,,300,,290,,310
19/05/2018 00:00,2.63,2.97,3.23,3.46,2236,380,2116,360,2048,330,1912,280
20/05/2018 00:00,2.23,2.59,3.16,3.46,2012,380,2160,340,1984,300,1948,320
21/05/2018 00:00,2.5,2.71,3.51,3.69,2060,420,2048,410,1932,250,1760,240
