Date,F_M - A,F_M - B,Sludge Age - A,Sludge Age - B
15/06/2010 7:00,0.25,0.23,3.06,2.97
16/06/2010 7:00,0.24,0.23,3.13,2.83
17/06/2010 7:00,0.26,0.24,3.44,2.55
18/06/2010 7:00,0.24,0.25,3.35,2.77
19/06/2010 7:00,0.17,0.17,3.43,2.82
20/06/2010 7:00,0.28,0.25,3.07,2.88
21/06/2010 7:00,0.25,0.22,3.05,2.28
22/06/2010 7:00,0.23,0.23,3.48,2.75
23/06/2010 7:00,0.22,0.22,2.46,2.19
24/06/2010 7:00,,,2.95,2.23
25/06/2010 7:00,,,3.00,2.83
26/06/2010 7:00,,,3.96,3.24
27/06/2010 7:00,0.24,0.26,2.98,2.43
28/06/2010 7:00,0.25,0.24,2.69,2.19
29/06/2010 7:00,0.26,0.24,2.97,2.56
30/06/2010 7:00,0.27,0.25,2.98,2.31
01/07/2010 7:00,0.25,0.22,2.96,2.45
02/07/2010 7:00,0.25,0.25,2.99,2.91
03/07/2010 7:00,0.21,0.20,2.74,2.59
04/07/2010 7:00,0.28,0.30,3.19,2.47
05/07/2010 7:00,0.24,0.25,5.28,3.11
06/07/2010 7:00,0.26,0.26,3.38,2.48
07/07/2010 7:00,0.23,0.25,4.81,2.65
08/07/2010 7:00,0.24,0.25,3.52,2.44
09/07/2010 7:00,0.24,0.24,2.77,2.63
10/07/2010 7:00,0.17,0.18,3.34,2.99
11/07/2010 7:00,0.24,0.25,3.17,3.27
12/07/2010 7:00,0.24,0.24,2.99,3.00
13/07/2010 7:00,0.23,0.24,3.00,2.81
14/07/2010 7:00,0.22,0.25,3.27,3.12
15/07/2010 7:00,0.23,0.23,3.21,2.49
16/07/2010 7:00,0.25,0.26,3.28,2.60
17/07/2010 7:00,0.17,0.17,3.40,3.47
18/07/2010 7:00,0.22,0.22,3.23,2.30
19/07/2010 7:00,0.22,0.23,2.92,2.62
20/07/2010 7:00,0.22,0.22,3.15,2.54
21/07/2010 7:00,0.24,0.24,3.40,2.65
