date,Settling_velocity,SVI,SV_label,SVI_label
2018-07-30,3.56,116.03375527426161,good,good
2018-07-31,3.63,120.0,good,good
2018-08-01,3.59,110.22044088176352,good,good
2018-08-02,3.74,100.20040080160321,good,good
2018-08-03,3.51,115.63876651982379,good,good
2018-08-04,3.6,113.16872427983539,good,good
2018-08-05,3.57,133.72093023255815,good,good
2018-08-06,3.86,127.77777777777777,good,good
2018-08-07,3.54,80.78231292517007,good,good
2018-08-08,3.54,101.80995475113122,good,good
2018-08-09,3.84,119.04761904761905,good,good
2018-08-10,3.66,108.10810810810811,good,good
2018-08-11,3.77,97.25400457665904,good,good
2018-08-12,3.8,139.2405063291139,good,good
2018-08-13,3.91,123.45679012345678,good,good
2018-08-14,3.89,94.7867298578199,good,good
2018-08-15,4.0,98.76543209876543,good,good
2018-08-16,4.07,98.4251968503937,good,good
2018-08-17,3.97,83.14855875831486,good,good
2018-08-18,4.14,77.00205338809035,good,good
2018-08-19,3.8,93.28358208955224,good,good
2018-08-20,3.89,90.49773755656109,good,good
2018-08-21,3.94,117.37089201877934,good,good
2018-08-22,3.96,93.4065934065934,good,good
2018-08-23,4.03,89.68609865470852,good,good
2018-08-24,3.87,99.76525821596245,good,good
2018-08-25,3.99,98.75259875259876,good,good
2018-08-26,3.44,105.55555555555556,good,good
2018-08-27,3.7,103.93873085339169,good,good
2018-08-28,3.5,96.3302752293578,good,good
2018-08-29,4.27,108.22510822510823,good,good
2018-08-30,3.77,91.39784946236558,good,good
2018-08-31,3.8,97.61388286334056,good,good
2018-09-01,3.66,104.38413361169103,good,good
2018-09-02,4.0,96.98275862068965,good,good
2018-09-03,3.61,92.3913043478261,good,good
2018-09-04,3.61,80.12820512820512,good,good
2018-09-05,3.91,93.81898454746137,good,good
2018-09-06,3.91,89.09853249475891,good,good
2018-09-07,4.0,58.47953216374269,good,good
2018-09-08,3.91,80.49242424242425,good,good
2018-09-09,4.0,77.22846064192218,good,good
2018-09-10,3.74,73.96449704142012,good,good
2018-09-11,4.16,81.30081300813008,good,good
2018-09-12,4.11,75.92190889370933,good,good
2018-09-13,4.21,78.61635220125787,good,good
2018-09-14,4.01,89.28571428571429,good,good
2018-09-15,4.03,79.05138339920948,good,good
2018-09-16,3.51,97.4770642201835,good,good
2018-09-17,4.01,85.61643835616438,good,good
2018-09-18,3.84,84.65011286681715,good,good
